timestamp,E,U,time
2014-09-28 01:00:00,0.0,0.0,0:00:00.196501
2014-09-28 02:00:00,0.0,0.0,0:00:00.139260
2014-09-28 03:00:00,0.0,0.0,0:00:00.126407
2014-09-28 04:00:00,0.0,0.0,0:00:00.187619
2014-09-28 05:00:00,0.0,0.0,0:00:00.162741
2014-09-28 06:00:00,0.0,0.0,0:00:00.109088
2014-09-28 07:00:00,0.0,0.0,0:00:00.150504
2014-09-28 08:00:00,0.0,0.0,0:00:00.130319
2014-09-28 09:00:00,0.0,0.0,0:00:00.114946
2014-09-28 10:00:00,0.0,0.0,0:00:00.154096
2014-09-28 11:00:00,0.0,0.0,0:00:00.201055
2014-09-28 12:00:00,0.0,0.0,0:00:00.122300
2014-09-28 13:00:00,0.0,0.0,0:00:00.150832
2014-09-28 14:00:00,0.0,0.0,0:00:00.119340
2014-09-28 15:00:00,0.0,0.0,0:00:00.158243
2014-09-28 16:00:00,0.0,0.0,0:00:00.116386
2014-09-28 17:00:00,0.0,0.0,0:00:00.145263
2014-09-28 18:00:00,0.0,0.0,0:00:00.159267
2014-09-28 19:00:00,0.0,0.0,0:00:00.130846
2014-09-28 20:00:00,3.6,0.05953696668148032,0:00:00.189189
2014-09-28 21:00:00,3.6,0.058349914848804425,0:00:00.158007
2014-09-28 22:00:00,1.7599999999999998,0.027953936755657174,0:00:00.144189
2014-09-28 23:00:00,0.0,0.0,0:00:00.137748
2014-09-29 00:00:00,0.0,0.0,0:00:00.168002
2014-09-29 01:00:00,0.0,0.0,0:00:00.152768
2014-09-29 02:00:00,0.0,0.0,0:00:00.137761
2014-09-29 03:00:00,0.0,0.0,0:00:00.115988
2014-09-29 04:00:00,0.0,0.0,0:00:00.180212
2014-09-29 05:00:00,0.0,0.0,0:00:00.152814
2014-09-29 06:00:00,0.0,0.0,0:00:00.129416
2014-09-29 07:00:00,0.0,0.0,0:00:00.153072
2014-09-29 08:00:00,0.0,0.0,0:00:00.166669
2014-09-29 09:00:00,0.0,0.0,0:00:00.131623
2014-09-29 10:00:00,0.0,0.0,0:00:00.124013
2014-09-29 11:00:00,0.0,0.0,0:00:00.144881
2014-09-29 12:00:00,0.0,0.0,0:00:00.174221
2014-09-29 13:00:00,0.0,0.0,0:00:00.145391
2014-09-29 14:00:00,0.0,0.0,0:00:00.118947
